項次,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,,
檢驗項目,自由有效餘氯(Free Chlorine Residual),濁度(Turbidity),色度(Color),臭度(Odor),總鹼度(Total Alkalinity),pH值(pH ),氯鹽(Chloride),硫酸鹽(Sulfate),氨氮(Ammonia),亞硝酸鹽氮(Nitrite),硝酸鹽氮(Nitrate),總溶解固體量(Total Dissolved Solids),氟鹽(Fluoride),總硬度(Total Hardness),鐵(Iron),錳(Manganese),總菌落數(Total Bacterial Count),大腸桿菌群(Coliform Group),總三鹵甲烷(Total Trihalomethanes),鉛(Lead),硒(Selenium),砷(Arsenic),汞(Mercury),鋅(Zinc),銀(Silver),銅(Copper),鉻(Chromium),鎳(Nickel),鎘(Cadmium),鋇(Barium),銻(Antimony),陰離子界面活性劑(Anionic Surfactants),靈丹(Lindane),安殺番(Endosulfan),巴拉刈(Paraquat),大利松(Diazinon),巴拉松(Parathion),一品松(EPN),氰鹽(Cyanate),酚(Phenols),達馬松(Methamidophos),丁基拉草(Butachlor),2，4-地(2，4-D),納乃得(Methomyl),滅必蝨(MIPC(Isoprocarb)),加保扶(Carbofuran),亞素靈(Monocrotophos),水質合格否(Y/N),
飲用水水質標準,0.2-1.0,2,5,3,－－,6.0-8.5,250,250,0.1,0.1,10.0,500,0.8,300,0.3,0.05,100,6,0.08,0.05,0.01,0.01,0.002,5.0,0.05,1.0,0.05,0.1,0.005,2.0,0.01,0.5,0.0002,0.003,0.01,0.005,0.02,0.005,0.05,0.001,0.02,0.02,0.07,0.01,0.02,0.02,0.003,－－,
單位,mg/L,NTU,鉑鈷單位,初嗅數,mg/L,－－,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,CFU/mL,CFU/100mL,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,－－,
新山淨水場(Sinshan),0.77,0.45,<5,<1,35.7,7.2,17.6,19.9,ND,ND,1.08,117,0.04,45.3,0.09,0.005,<1,<1,0.0217,0.00568,ND,0.0002,ND,0.00195,ND,0.00092,0.00115,ND,ND,0.0191,0.00004,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Y,
貢寮淨水場(Gongliau),0.80,0.30,<5,<1,28.3,7.2,13.9,10.2,ND,ND,0.36,96.8,0.03,29.5,0.04,ND,<1,<1,0.0209,0.00282,ND,0.0002,ND,0.00163,ND,0.00049,0.00208,ND,ND,0.0353,0.00007,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Y,
板新淨水場(Bansin),0.72,0.30,<5,<1,52.5,7.2,9.5,28.9,0.02,ND,0.59,133,0.07,83.0,0.04,ND,<1,<1,0.0148,ND,0.00108,0.0002,ND,0.00192,ND,0.00176,ND,0.00065,ND,0.0130,0.00019,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Y,
平鎮淨水場(Pingjen),0.64,0.60,<5,<1,56.8,7.6,3.4,36.1,0.02,ND,0.37,137,0.09,92.3,0.04,ND,1,<1,0.00529,0.00040,ND,0.0004,ND,0.00086,ND,0.00078,0.00039,0.00043,ND,0.00887,0.00013,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Y,
大湳淨水場(Danan),0.67,0.50,<5,<1,57.6,7.3,6.1,36.1,0.02,ND,0.50,140,0.10,94.4,0.04,ND,1,<1,0.0233,0.00032,ND,0.0005,ND,0.00112,ND,0.00058,ND,0.00061,0.00001,0.0139,0.00020,ND,ND,ND,ND,ND,ND,0.0003,ND,ND,ND,ND,ND,ND,ND,ND,ND,Y,
石門淨水場(Shihmen),0.63,0.50,<5,<1,56.3,7.5,4.3,34.5,ND,ND,0.38,138,0.09,89.5,0.06,ND,2,<1,0.00913,0.00024,ND,0.0003,ND,0.00189,ND,0.00160,ND,0.00087,ND,0.0100,0.00014,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Y,
龍潭淨水場(Longtan),0.65,1.0,<5,<1,50.7,7.5,4.6,35.1,0.02,ND,0.97,136,0.06,80.6,0.05,ND,3,<1,0.00699,0.00048,ND,0.0003,ND,0.00224,ND,0.00205,ND,0.00042,0.00001,0.0116,0.00013,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Y,
